Time (Kya),Time,d18O,Error
0,0,3.23,0.03
1,1000,3.23,0.04
2,2000,3.18,0.03
3,3000,3.29,0.03
4,4000,3.3,0.03
5,5000,3.26,0.03
6,6000,3.33,0.04
7,7000,3.37,0.04
8,8000,3.42,0.03
9,9000,3.38,0.04
10,10000,3.52,0.04
11,11000,3.6,0.04
12,12000,3.92,0.05
13,13000,4.06,0.04
14,14000,4.28,0.03
15,15000,4.49,0.04
16,16000,4.75,0.03
17,17000,4.88,0.04
18,18000,5.02,0.03
19,19000,4.96,0.03
20,20000,4.99,0.04
21,21000,4.91,0.03
22,22000,4.88,0.03
23,23000,4.86,0.03
24,24000,4.81,0.04
25,25000,4.82,0.02
26,26000,4.67,0.04
27,27000,4.75,0.04
28,28000,4.75,0.03
29,29000,4.73,0.03
30,30000,4.62,0.04
31,31000,4.62,0.03
32,32000,4.6,0.03
33,33000,4.58,0.03
34,34000,4.59,0.03
35,35000,4.54,0.02
36,36000,4.45,0.03
37,37000,4.46,0.03
38,38000,4.41,0.03
39,39000,4.55,0.03
40,40000,4.55,0.03
41,41000,4.51,0.05
42,42000,4.5,0.03
43,43000,4.46,0.04
44,44000,4.48,0.03
45,45000,4.33,0.04
46,46000,4.36,0.05
47,47000,4.38,0.04
48,48000,4.45,0.04
49,49000,4.46,0.03
50,50000,4.34,0.04
51,51000,4.33,0.05
52,52000,4.31,0.04
53,53000,4.44,0.03
54,54000,4.38,0.04
55,55000,4.31,0.03
56,56000,4.35,0.04
57,57000,4.43,0.04
58,58000,4.49,0.06
59,59000,4.43,0.04
60,60000,4.6,0.04
61,61000,4.51,0.05
62,62000,4.6,0.04
63,63000,4.53,0.04
64,64000,4.36,0.06
65,65000,4.48,0.05
66,66000,4.57,0.04
67,67000,4.44,0.05
68,68000,4.42,0.06
69,69000,4.47,0.05
70,70000,4.32,0.04
71,71000,4.22,0.05
72,72000,4.21,0.04
73,73000,4.23,0.04
74,74000,4.03,0.04
75,75000,3.95,0.04
76,76000,4.06,0.04
77,77000,4.08,0.05
78,78000,4.05,0.03
79,79000,4.05,0.05
80,80000,3.9,0.04
81,81000,3.82,0.04
82,82000,3.8,0.04
83,83000,3.83,0.04
84,84000,3.82,0.04
85,85000,3.95,0.06
86,86000,4.06,0.05
87,87000,4.18,0.05
88,88000,4.11,0.05
89,89000,4.08,0.04
90,90000,4.06,0.05
91,91000,4.03,0.04
92,92000,3.98,0.04
93,93000,3.9,0.03
94,94000,3.84,0.04
95,95000,3.77,0.05
96,96000,3.75,0.03
97,97000,3.83,0.04
98,98000,3.9,0.04
99,99000,3.78,0.06
100,100000,3.81,0.06
101,101000,3.92,0.05
102,102000,3.86,0.05
103,103000,3.88,0.04
104,104000,3.92,0.05
105,105000,3.85,0.06
106,106000,4,0.04
107,107000,4.04,0.05
108,108000,4.11,0.04
109,109000,4.12,0.05
110,110000,4.04,0.05
111,111000,4.02,0.05
112,112000,4.03,0.04
113,113000,3.93,0.05
114,114000,3.81,0.05
115,115000,3.71,0.04
116,116000,3.58,0.04
117,117000,3.54,0.05
118,118000,3.44,0.06
119,119000,3.3,0.03
120,120000,3.27,0.04
121,121000,3.26,0.04
122,122000,3.18,0.03
123,123000,3.1,0.05
124,124000,3.27,0.04
125,125000,3.14,0.06
126,126000,3.16,0.04
127,127000,3.37,0.05
128,128000,3.71,0.07
129,129000,3.9,0.08
130,130000,3.67,0.09
131,131000,3.81,0.09
132,132000,4.2,0.06
133,133000,4.41,0.05
134,134000,4.7,0.05
135,135000,4.86,0.04
136,136000,4.82,0.05
137,137000,4.8,0.05
138,138000,4.89,0.04
139,139000,4.87,0.05
140,140000,4.98,0.05
141,141000,4.81,0.05
142,142000,4.75,0.06
143,143000,4.78,0.05
144,144000,4.82,0.05
145,145000,4.74,0.05
146,146000,4.77,0.05
147,147000,4.82,0.05
148,148000,4.71,0.05
149,149000,4.75,0.04
150,150000,4.75,0.06
151,151000,4.66,0.06
152,152000,4.64,0.05
153,153000,4.62,0.04
154,154000,4.66,0.04
155,155000,4.51,0.04
156,156000,4.78,0.04
157,157000,4.74,0.04
158,158000,4.69,0.03
159,159000,4.66,0.05
160,160000,4.69,0.05
161,161000,4.65,0.04
162,162000,4.66,0.05
163,163000,4.7,0.06
164,164000,4.68,0.05
165,165000,4.68,0.05
166,166000,4.48,0.04
167,167000,4.41,0.06
168,168000,4.48,0.04
169,169000,4.5,0.04
170,170000,4.5,0.03
171,171000,4.53,0.04
172,172000,4.46,0.03
173,173000,4.38,0.03
174,174000,4.28,0.04
175,175000,4.32,0.05
176,176000,4.39,0.04
177,177000,4.46,0.04
178,178000,4.44,0.03
179,179000,4.48,0.05
180,180000,4.39,0.06
181,181000,4.46,0.03
182,182000,4.48,0.05
183,183000,4.37,0.04
184,184000,4.4,0.06
185,185000,4.59,0.06
186,186000,4.47,0.04
187,187000,4.4,0.05
188,188000,4.46,0.05
189,189000,4.39,0.04
190,190000,4.28,0.05
191,191000,4.13,0.05
192,192000,3.76,0.05
193,193000,3.92,0.05
194,194000,3.84,0.07
195,195000,3.91,0.05
196,196000,3.82,0.04
197,197000,3.74,0.06
198,198000,3.82,0.04
199,199000,3.57,0.05
200,200000,3.53,0.07
201,201000,3.53,0.03
202,202000,3.63,0.06
203,203000,3.61,0.07
204,204000,3.78,0.05
205,205000,3.82,0.06
206,206000,3.77,0.07
207,207000,3.78,0.08
208,208000,3.71,0.07
209,209000,3.64,0.06
210,210000,3.57,0.07
211,211000,3.6,0.06
212,212000,3.61,0.06
213,213000,3.65,0.06
214,214000,3.56,0.07
215,215000,3.54,0.05
216,216000,3.53,0.04
217,217000,3.48,0.09
218,218000,3.72,0.05
219,219000,3.94,0.05
220,220000,3.98,0.06
221,221000,4.23,0.06
222,222000,4.38,0.09
223,223000,4.44,0.07
224,224000,4.39,0.07
225,225000,4.28,0.06
226,226000,4.29,0.05
227,227000,4.19,0.05
228,228000,4.19,0.12
229,229000,4.02,0.08
230,230000,4.3,0.06
231,231000,4.22,0.07
232,232000,4.17,0.07
233,233000,3.97,0.06
234,234000,3.84,0.05
235,235000,3.71,0.06
236,236000,3.66,0.05
237,237000,3.47,0.04
238,238000,3.51,0.06
239,239000,3.44,0.04
240,240000,3.44,0.06
241,241000,3.54,0.08
242,242000,3.68,0.06
243,243000,3.78,0.08
244,244000,4.05,0.06
245,245000,4.17,0.06
246,246000,4.38,0.05
247,247000,4.31,0.04
248,248000,4.38,0.07
249,249000,4.36,0.05
250,250000,4.5,0.05
251,251000,4.58,0.04
252,252000,4.63,0.04
253,253000,4.52,0.06
254,254000,4.57,0.04
255,255000,4.37,0.05
256,256000,4.43,0.06
257,257000,4.55,0.05
258,258000,4.51,0.05
259,259000,4.52,0.04
260,260000,4.46,0.06
261,261000,4.52,0.03
262,262000,4.45,0.05
263,263000,4.46,0.05
264,264000,4.42,0.04
265,265000,4.44,0.05
266,266000,4.5,0.05
267,267000,4.5,0.05
268,268000,4.33,0.06
269,269000,4.52,0.06
270,270000,4.51,0.06
271,271000,4.5,0.05
272,272000,4.44,0.06
273,273000,4.44,0.03
274,274000,4.38,0.04
275,275000,4.38,0.05
276,276000,4.3,0.06
277,277000,4.44,0.05
278,278000,4.31,0.05
279,279000,4.23,0.07
280,280000,4.14,0.05
281,281000,4.21,0.04
282,282000,3.98,0.05
283,283000,3.87,0.06
284,284000,3.86,0.04
285,285000,3.84,0.04
286,286000,3.82,0.05
287,287000,3.89,0.04
288,288000,4.02,0.06
289,289000,4.06,0.05
290,290000,4.1,0.06
291,291000,4.11,0.04
292,292000,4.27,0.07
293,293000,4.22,0.06
294,294000,4.33,0.05
295,295000,4.31,0.03
296,296000,4.23,0.04
297,297000,4.3,0.06
298,298000,4.17,0.04
299,299000,4.23,0.04
300,300000,4.02,0.07
301,301000,4.06,0.07
302,302000,4.06,0.07
303,303000,4,0.06
304,304000,4.07,0.04
305,305000,4.07,0.07
306,306000,4.05,0.06
307,307000,4,0.04
308,308000,3.85,0.04
309,309000,3.86,0.06
310,310000,3.8,0.06
311,311000,3.7,0.04
312,312000,3.79,0.05
313,313000,3.69,0.06
314,314000,3.77,0.06
315,315000,3.62,0.06
316,316000,3.69,0.07
317,317000,3.89,0.05
318,318000,3.76,0.04
319,319000,3.58,0.05
320,320000,3.66,0.05
321,321000,3.53,0.05
322,322000,3.53,0.05
323,323000,3.47,0.05
324,324000,3.21,0.05
325,325000,3.31,0.04
326,326000,3.23,0.04
327,327000,3.22,0.04
328,328000,3.23,0.05
329,329000,3.19,0.04
330,330000,3.3,0.04
331,331000,3.29,0.06
332,332000,3.39,0.08
333,333000,3.38,0.07
334,334000,3.51,0.08
335,335000,3.75,0.08
336,336000,4.08,0.08
337,337000,4.23,0.08
338,338000,4.17,0.07
339,339000,4.42,0.07
340,340000,4.6,0.06
341,341000,4.84,0.06
342,342000,4.83,0.05
343,343000,4.8,0.07
344,344000,4.76,0.07
345,345000,4.79,0.05
346,346000,4.68,0.06
347,347000,4.53,0.07
348,348000,4.49,0.1
349,349000,4.62,0.04
350,350000,4.67,0.05
351,351000,4.64,0.05
352,352000,4.47,0.09
353,353000,4.47,0.05
354,354000,4.4,0.06
355,355000,4.59,0.04
356,356000,4.46,0.07
357,357000,4.55,0.07
358,358000,4.58,0.04
359,359000,4.49,0.08
360,360000,4.54,0.04
361,361000,4.5,0.06
362,362000,4.5,0.04
363,363000,4.53,0.05
364,364000,4.36,0.04
365,365000,4.46,0.05
366,366000,4.32,0.06
367,367000,4.37,0.04
368,368000,4.4,0.05
369,369000,4.38,0.04
370,370000,4.36,0.05
371,371000,4.27,0.05
372,372000,4.42,0.04
373,373000,4.29,0.07
374,374000,4.34,0.06
375,375000,4.2,0.05
376,376000,4.21,0.05
377,377000,4.2,0.04
378,378000,4.19,0.03
379,379000,4.17,0.05
380,380000,4.19,0.05
381,381000,4.15,0.03
382,382000,4.05,0.06
383,383000,4.12,0.03
384,384000,4.08,0.05
385,385000,4.14,0.03
386,386000,4.02,0.07
387,387000,3.99,0.04
388,388000,3.92,0.04
389,389000,3.89,0.04
390,390000,3.96,0.06
391,391000,4,0.05
392,392000,3.97,0.03
393,393000,3.86,0.05
394,394000,3.92,0.05
395,395000,3.76,0.05
396,396000,3.72,0.04
397,397000,3.47,0.09
398,398000,3.54,0.04
399,399000,3.48,0.06
400,400000,3.32,0.04
401,401000,3.2,0.05
402,402000,3.17,0.05
403,403000,3.15,0.04
404,404000,3.2,0.05
405,405000,3.11,0.04
406,406000,3.19,0.04
407,407000,3.21,0.05
408,408000,3.17,0.06
409,409000,3.22,0.06
410,410000,3.15,0.06
411,411000,3.29,0.05
412,412000,3.31,0.04
413,413000,3.38,0.03
414,414000,3.41,0.04
415,415000,3.41,0.05
416,416000,3.51,0.06
417,417000,3.57,0.05
418,418000,3.75,0.05
419,419000,3.81,0.03
420,420000,3.77,0.06
421,421000,3.85,0.07
422,422000,3.94,0.05
423,423000,4.02,0.07
424,424000,3.92,0.07
425,425000,4.3,0.14
426,426000,4.5,0.07
427,427000,4.3,0.1
428,428000,4.72,0.06
429,429000,4.91,0.07
430,430000,4.98,0.07
431,431000,5.05,0.05
432,432000,5.05,0.08
433,433000,5.08,0.05
434,434000,5.08,0.05
435,435000,5.02,0.1
436,436000,5.07,0.04
437,437000,4.9,0.08
438,438000,4.79,0.1
439,439000,4.87,0.06
440,440000,4.76,0.09
441,441000,4.95,0.07
442,442000,4.96,0.05
443,443000,4.91,0.04
444,444000,4.82,0.07
445,445000,4.91,0.05
446,446000,4.82,0.05
447,447000,4.51,0.08
448,448000,4.77,0.06
449,449000,4.73,0.06
450,450000,4.75,0.06
451,451000,4.58,0.06
452,452000,4.73,0.05
453,453000,4.56,0.09
454,454000,4.6,0.04
455,455000,4.41,0.09
456,456000,4.62,0.05
457,457000,4.63,0.08
458,458000,4.55,0.05
459,459000,4.63,0.06
460,460000,4.56,0.07
461,461000,4.59,0.04
462,462000,4.61,0.05
463,463000,4.61,0.05
464,464000,4.44,0.05
465,465000,4.57,0.04
466,466000,4.46,0.03
467,467000,4.44,0.06
468,468000,4.38,0.04
469,469000,4.51,0.04
470,470000,4.33,0.05
471,471000,4.25,0.07
472,472000,4.32,0.05
473,473000,4.36,0.05
474,474000,4.39,0.06
475,475000,4.35,0.03
476,476000,4.3,0.05
477,477000,4.27,0.03
478,478000,4.22,0.04
479,479000,4.12,0.04
480,480000,4.12,0.04
481,481000,4.17,0.05
482,482000,4.01,0.03
483,483000,3.97,0.03
484,484000,3.79,0.05
485,485000,3.81,0.07
486,486000,3.76,0.05
487,487000,3.72,0.06
488,488000,3.67,0.04
489,489000,3.6,0.04
490,490000,3.54,0.06
491,491000,3.47,0.07
492,492000,3.63,0.05
493,493000,3.72,0.04
494,494000,3.83,0.07
495,495000,3.83,0.07
496,496000,3.83,0.05
497,497000,3.68,0.06
498,498000,3.82,0.04
499,499000,3.75,0.06
500,500000,3.84,0.04
501,501000,3.78,0.05
502,502000,3.75,0.06
503,503000,3.81,0.04
504,504000,3.91,0.05
505,505000,3.86,0.07
506,506000,4.01,0.04
507,507000,3.93,0.07
508,508000,4.16,0.09
509,509000,4.06,0.04
510,510000,4.14,0.05
511,511000,4.06,0.06
512,512000,4.22,0.07
513,513000,4.25,0.03
514,514000,4.1,0.05
515,515000,4.1,0.06
516,516000,4.01,0.05
517,517000,3.96,0.08
518,518000,4.07,0.06
519,519000,3.96,0.05
520,520000,3.95,0.05
521,521000,3.91,0.08
522,522000,3.88,0.04
523,523000,3.93,0.05
524,524000,3.83,0.06
525,525000,3.92,0.06
526,526000,3.97,0.09
527,527000,3.96,0.07
528,528000,3.92,0.08
529,529000,3.99,0.05
530,530000,3.97,0.08
531,531000,3.92,0.07
532,532000,4.01,0.07
533,533000,4.11,0.07
534,534000,4.27,0.06
535,535000,4.29,0.07
536,536000,4.55,0.06
537,537000,4.43,0.06
538,538000,4.54,0.05
539,539000,4.48,0.08
540,540000,4.53,0.06
541,541000,4.5,0.06
542,542000,4.45,0.05
543,543000,4.45,0.09
544,544000,4.46,0.08
545,545000,4.43,0.05
546,546000,4.51,0.07
547,547000,4.53,0.07
548,548000,4.55,0.04
549,549000,4.53,0.05
550,550000,4.5,0.06
551,551000,4.45,0.07
552,552000,4.52,0.06
553,553000,4.46,0.05
554,554000,4.29,0.08
555,555000,4.25,0.05
556,556000,4.39,0.06
557,557000,4.35,0.04
558,558000,4.25,0.05
559,559000,4.17,0.05
560,560000,4.14,0.03
561,561000,4.21,0.05
562,562000,4.14,0.08
563,563000,4.17,0.06
564,564000,4.01,0.05
565,565000,3.96,0.03
566,566000,3.86,0.06
567,567000,3.94,0.04
568,568000,4,0.04
569,569000,3.97,0.07
570,570000,3.91,0.04
571,571000,3.89,0.06
572,572000,3.59,0.05
573,573000,3.65,0.05
574,574000,3.73,0.07
575,575000,3.39,0.06
576,576000,3.46,0.05
577,577000,3.48,0.04
578,578000,3.5,0.07
579,579000,3.57,0.06
580,580000,3.69,0.05
581,581000,4,0.06
582,582000,4.13,0.14
583,583000,4.29,0.1
584,584000,4.31,0.1
585,585000,4.33,0.07
586,586000,4.18,0.08
587,587000,4.11,0.13
588,588000,4.19,0.04
589,589000,4.07,0.08
590,590000,4.09,0.05
591,591000,4.07,0.04
592,592000,4.02,0.08
593,593000,3.99,0.09
594,594000,3.9,0.06
595,595000,3.88,0.08
596,596000,3.89,0.08
597,597000,3.8,0.07
598,598000,3.99,0.05
599,599000,4.02,0.07
600,600000,4.07,0
602,602000,3.97,0.05
604,604000,3.77,0.06
606,606000,3.8,0.07
608,608000,3.8,0.05
610,610000,3.49,0.04
612,612000,3.52,0.06
614,614000,3.53,0.05
616,616000,3.66,0.05
618,618000,3.81,0.08
620,620000,4.09,0.09
622,622000,4.31,0.08
624,624000,4.63,0.07
626,626000,4.9,0.06
628,628000,5.01,0.07
630,630000,5.08,0.06
632,632000,5.05,0.05
634,634000,4.93,0.06
636,636000,5,0.04
638,638000,4.8,0.05
640,640000,5.01,0.06
642,642000,4.75,0.05
644,644000,4.68,0.08
646,646000,4.72,0.05
648,648000,4.75,0.05
650,650000,4.71,0.06
652,652000,4.79,0.05
654,654000,4.77,0.05
656,656000,4.57,0.05
658,658000,4.58,0.04
660,660000,4.64,0.05
662,662000,4.8,0.07
664,664000,4.58,0.04
666,666000,4.5,0.05
668,668000,4.65,0.04
670,670000,4.42,0.05
672,672000,4.52,0.06
674,674000,4.46,0.04
676,676000,4.4,0.05
678,678000,4.26,0.05
680,680000,4.14,0.06
682,682000,4.15,0.06
684,684000,4.03,0.07
686,686000,4.13,0.05
688,688000,3.95,0.06
690,690000,3.7,0.05
692,692000,3.71,0.06
694,694000,3.64,0.06
696,696000,3.5,0.04
698,698000,3.57,0.04
700,700000,3.65,0.05
702,702000,3.76,0.05
704,704000,3.84,0.05
706,706000,3.93,0.05
708,708000,4.03,0.07
710,710000,3.98,0.07
712,712000,4.06,0.09
714,714000,4.29,0.06
716,716000,4.61,0.08
718,718000,4.75,0.07
720,720000,4.66,0.09
722,722000,4.65,0.06
724,724000,4.44,0.06
726,726000,4.32,0.05
728,728000,4.16,0.05
730,730000,4.16,0.04
732,732000,4.02,0.07
734,734000,4.15,0.04
736,736000,4.19,0.06
738,738000,4.21,0.06
740,740000,4.11,0.08
742,742000,4.17,0.05
744,744000,4.48,0.06
746,746000,4.67,0.11
748,748000,4.59,0.06
750,750000,4.6,0.07
752,752000,4.48,0.05
754,754000,4.55,0.06
756,756000,4.59,0.06
758,758000,4.26,0.06
760,760000,4.33,0.05
762,762000,4.11,0.06
764,764000,4.28,0.06
766,766000,4.11,0.06
768,768000,4.07,0.05
770,770000,3.99,0.05
772,772000,3.87,0.05
774,774000,3.76,0.05
776,776000,3.64,0.05
778,778000,3.56,0.04
780,780000,3.48,0.05
782,782000,3.54,0.05
784,784000,3.55,0.07
786,786000,3.68,0.05
788,788000,3.7,0.1
790,790000,4.16,0.06
792,792000,4.27,0.06
794,794000,4.74,0.09
796,796000,4.67,0.07
798,798000,4.68,0.08
800,800000,4.68,0.07
802,802000,4.73,0.06
804,804000,4.55,0.07
806,806000,4.53,0.04
808,808000,4.49,0.06
810,810000,4.31,0.05
812,812000,4.38,0.06
814,814000,4.12,0.05
816,816000,4.08,0.08
818,818000,3.9,0.07
820,820000,3.96,0.06
822,822000,3.9,0.05
824,824000,3.92,0.08
826,826000,4.11,0.06
828,828000,3.95,0.06
830,830000,4.04,0.05
832,832000,4.07,0.05
834,834000,3.95,0.06
836,836000,3.82,0.04
838,838000,3.99,0.06
840,840000,4.02,0.07
842,842000,3.81,0.05
844,844000,3.67,0.05
846,846000,3.58,0.04
848,848000,3.63,0.07
850,850000,3.5,0.04
852,852000,3.65,0.05
854,854000,3.63,0.05
856,856000,3.46,0.05
858,858000,3.42,0.05
860,860000,3.45,0.07
862,862000,3.68,0.09
864,864000,3.58,0.06
866,866000,4.06,0.07
868,868000,4.32,0.06
870,870000,4.51,0.07
872,872000,4.67,0.06
874,874000,4.68,0.07
876,876000,4.69,0.08
878,878000,4.59,0.08
880,880000,4.68,0.04
882,882000,4.42,0.07
884,884000,4.47,0.05
886,886000,4.47,0.07
888,888000,4.45,0.04
890,890000,4.39,0.06
892,892000,4.32,0.07
894,894000,4.41,0.07
896,896000,4.4,0.05
898,898000,4.33,0.04
900,900000,4.29,0.05
902,902000,4.17,0.04
904,904000,4.14,0.06
906,906000,4.12,0.04
908,908000,3.99,0.06
910,910000,3.99,0.05
912,912000,4.09,0.04
914,914000,4.03,0.05
916,916000,4.06,0.06
918,918000,4.37,0.06
920,920000,4.51,0.06
922,922000,4.55,0.06
924,924000,4.43,0.06
926,926000,4.38,0.04
928,928000,4.26,0.05
930,930000,4.1,0.05
932,932000,4.07,0.05
934,934000,3.98,0.06
936,936000,4.02,0.05
938,938000,3.86,0.04
940,940000,3.89,0.04
942,942000,3.69,0.04
944,944000,3.57,0.04
946,946000,3.63,0.06
948,948000,3.48,0.05
950,950000,3.44,0.04
952,952000,3.3,0.04
954,954000,3.39,0.07
956,956000,3.33,0.05
958,958000,3.73,0.08
960,960000,4.16,0.08
962,962000,4.42,0.06
964,964000,4.58,0.08
966,966000,4.3,0.05
968,968000,4.21,0.06
970,970000,4.09,0.05
972,972000,3.98,0.06
974,974000,3.87,0.05
976,976000,3.77,0.06
978,978000,3.72,0.05
980,980000,3.76,0.06
982,982000,3.99,0.07
984,984000,4.15,0.06
986,986000,4.24,0.07
988,988000,4.21,0.07
990,990000,4.11,0.05
992,992000,4.06,0.06
994,994000,3.94,0.05
996,996000,3.84,0.06
998,998000,3.84,0.04
1000,1000000,3.94,0.06
1002,1002000,4.15,0.07
1004,1004000,4.28,0.08
1006,1006000,4.22,0.07
1008,1008000,4.22,0.05
1010,1010000,4.12,0.06
1012,1012000,4.13,0.07
1014,1014000,3.99,0.06
1016,1016000,3.73,0.05
1018,1018000,3.78,0.04
1020,1020000,3.83,0.05
1022,1022000,3.57,0.08
1024,1024000,3.64,0.05
1026,1026000,3.87,0.06
1028,1028000,3.84,0.06
1030,1030000,3.95,0.08
1032,1032000,4.08,0.04
1034,1034000,4.36,0.05
1036,1036000,4.33,0.07
1038,1038000,4.54,0.09
1040,1040000,4.33,0.08
1042,1042000,4.23,0.09
1044,1044000,4.38,0.06
1046,1046000,4.22,0.06
1048,1048000,4.29,0.07
1050,1050000,4.18,0.05
1052,1052000,4.27,0.06
1054,1054000,4.25,0.06
1056,1056000,4.12,0.06
1058,1058000,4.23,0.06
1060,1060000,4.08,0.04
1062,1062000,3.94,0.06
1064,1064000,3.66,0.07
1066,1066000,3.48,0.05
1068,1068000,3.33,0.05
1070,1070000,3.34,0.05
1072,1072000,3.21,0.08
1074,1074000,3.42,0.06
1076,1076000,3.48,0.06
1078,1078000,3.54,0.04
1080,1080000,3.61,0.04
1082,1082000,3.81,0.06
1084,1084000,3.7,0.07
1086,1086000,3.89,0.04
1088,1088000,3.91,0.05
1090,1090000,3.95,0.05
1092,1092000,4.01,0.04
1094,1094000,4,0.06
1096,1096000,4.03,0.04
1098,1098000,4.29,0.05
1100,1100000,4.08,0.07
1102,1102000,4.03,0.06
1104,1104000,3.93,0.06
1106,1106000,3.83,0.05
1108,1108000,3.67,0.06
1110,1110000,3.85,0.06
1112,1112000,3.84,0.05
1114,1114000,4.12,0.05
1116,1116000,4.14,0.05
1118,1118000,4.2,0.05
1120,1120000,4.09,0.08
1122,1122000,4.47,0.06
1124,1124000,4.34,0.09
1126,1126000,4.5,0.03
1128,1128000,4.38,0.06
1130,1130000,4.32,0.08
1132,1132000,4.05,0.07
1134,1134000,4.22,0.06
1136,1136000,4.24,0.05
1138,1138000,4.02,0.04
1140,1140000,4.02,0.06
1142,1142000,3.97,0.06
1144,1144000,3.99,0.05
1146,1146000,3.86,0.04
1148,1148000,4.02,0.06
1150,1150000,3.82,0.05
1152,1152000,3.75,0.05
1154,1154000,3.76,0.04
1156,1156000,3.79,0.04
1158,1158000,3.68,0.05
1160,1160000,3.6,0.06
1162,1162000,3.6,0.05
1164,1164000,3.66,0.06
1166,1166000,3.53,0.05
1168,1168000,3.56,0.05
1170,1170000,3.6,0.07
1172,1172000,3.73,0.05
1174,1174000,3.76,0.06
1176,1176000,3.74,0.06
1178,1178000,3.8,0.04
1180,1180000,3.6,0.06
1182,1182000,3.84,0.04
1184,1184000,3.65,0.05
1186,1186000,3.77,0.05
1188,1188000,3.67,0.08
1190,1190000,4.05,0.03
1192,1192000,4.14,0.08
1194,1194000,4.27,0.06
1196,1196000,4.28,0.07
1198,1198000,4.43,0.06
1200,1200000,4.42,0.06
1202,1202000,4.2,0.09
1204,1204000,4.34,0.06
1206,1206000,4.16,0.07
1208,1208000,4.32,0.06
1210,1210000,4.2,0.07
1212,1212000,4.08,0.07
1214,1214000,4.1,0.06
1216,1216000,3.82,0.09
1218,1218000,3.73,0.11
1220,1220000,3.97,0.07
1222,1222000,3.94,0.07
1224,1224000,3.74,0.06
1226,1226000,3.63,0.09
1228,1228000,3.55,0.08
1230,1230000,3.42,0.06
1232,1232000,3.41,0.05
1234,1234000,3.34,0.1
1236,1236000,3.38,0.07
1238,1238000,3.35,0.07
1240,1240000,3.33,0.05
1242,1242000,3.47,0.1
1244,1244000,3.85,0.07
1246,1246000,4.1,0.07
1248,1248000,4.36,0.03
1250,1250000,4.31,0.06
1252,1252000,4.25,0.05
1254,1254000,4.27,0.05
1256,1256000,4.11,0.05
1258,1258000,3.9,0.08
1260,1260000,3.87,0.05
1262,1262000,4.07,0.07
1264,1264000,3.96,0.07
1266,1266000,3.91,0.07
1268,1268000,3.91,0.08
1270,1270000,3.84,0.07
1272,1272000,3.81,0.07
1274,1274000,3.84,0.05
1276,1276000,3.71,0.07
1278,1278000,3.67,0.04
1280,1280000,3.56,0.05
1282,1282000,3.65,0.05
1284,1284000,3.84,0.04
1286,1286000,3.97,0.04
1288,1288000,4.26,0.05
1290,1290000,4.35,0.05
1292,1292000,4.14,0.07
1294,1294000,3.94,0.08
1296,1296000,4.2,0.03
1298,1298000,4.15,0.05
1300,1300000,4.07,0.03
1302,1302000,4.06,0.06
1304,1304000,3.97,0.04
1306,1306000,3.9,0.08
1308,1308000,3.8,0.04
1310,1310000,3.65,0.06
1312,1312000,3.69,0.03
1314,1314000,3.71,0.05
1316,1316000,3.59,0.05
1318,1318000,3.73,0.06
1320,1320000,3.95,0.03
1322,1322000,3.94,0.05
1324,1324000,3.99,0.06
1326,1326000,4,0.06
1328,1328000,4.09,0.07
1330,1330000,4.06,0.07
1332,1332000,4.02,0.07
1334,1334000,4.19,0.07
1336,1336000,4.19,0.05
1338,1338000,4.1,0.08
1340,1340000,4.19,0.05
1342,1342000,4.07,0.07
1344,1344000,3.88,0.08
1346,1346000,3.86,0.07
1348,1348000,3.67,0.08
1350,1350000,3.59,0.06
1352,1352000,3.49,0.06
1354,1354000,3.41,0.06
1356,1356000,3.5,0.05
1358,1358000,3.55,0.05
1360,1360000,3.63,0.07
1362,1362000,3.8,0.06
1364,1364000,3.98,0.08
1366,1366000,3.99,0.07
1368,1368000,4.2,0.04
1370,1370000,4.04,0.06
1372,1372000,4.26,0.04
1374,1374000,4.21,0.05
1376,1376000,4.08,0.06
1378,1378000,4.2,0.08
1380,1380000,4.05,0.06
1382,1382000,3.96,0.06
1384,1384000,3.82,0.05
1386,1386000,3.72,0.08
1388,1388000,3.61,0.07
1390,1390000,3.73,0.06
1392,1392000,3.59,0.04
1394,1394000,3.7,0.11
1396,1396000,3.54,0.04
1398,1398000,3.49,0.05
1400,1400000,3.56,0.08
1402,1402000,3.63,0.05
1404,1404000,3.74,0.08
1406,1406000,3.97,0.06
1408,1408000,3.97,0.12
1410,1410000,4.2,0.07
1412,1412000,4.4,0.08
1414,1414000,4.22,0.08
1416,1416000,3.96,0.12
1418,1418000,3.84,0.07
1420,1420000,3.96,0.06
1422,1422000,3.83,0.09
1424,1424000,3.72,0.07
1426,1426000,3.72,0.06
1428,1428000,3.61,0.06
1430,1430000,3.52,0.05
1432,1432000,3.38,0.05
1434,1434000,3.38,0.06
1436,1436000,3.24,0.09
1438,1438000,3.24,0.07
1440,1440000,3.28,0.07
1442,1442000,3.34,0.04
1444,1444000,3.33,0.05
1446,1446000,3.36,0.05
1448,1448000,3.35,0.06
1450,1450000,3.49,0.06
1452,1452000,3.8,0.13
1454,1454000,4.2,0.13
1456,1456000,4.31,0.07
1458,1458000,4.24,0.06
1460,1460000,4.1,0.08
1462,1462000,4.07,0.06
1464,1464000,4.22,0.09
1466,1466000,3.99,0.09
1468,1468000,3.87,0.13
1470,1470000,3.62,0.07
1472,1472000,3.45,0.07
1474,1474000,3.38,0.08
1476,1476000,3.31,0.08
1478,1478000,3.42,0.07
