Age (yrs b2k),Renland depth,Renland d18O
39784,312.175,-31.52
39980,312.2,-31.4
40070,312.225,-30.66
40160,312.25,-30.36
40277,312.275,-30.8
40394,312.3,-31.07
40511,312.325,-31.16
40629,312.35,-31.04
40746,312.375,-31.05
40863,312.4,-31.2
40980,312.425,-30.9
41060,312.45,-30.3
41140,312.475,-29.82
41220,312.5,-29.78
41300,312.525,-29.45
41380,312.55,-29.19
41460,312.575,-29.66
41597,312.6,-30.84
41733,312.625,-31.35
41870,312.65,-31.57
42007,312.675,-31.63
42143,312.7,-31.62
42280,312.725,-31.4
42376,312.75,-30.79
42473,312.775,-30.62
42569,312.8,-30.65
42665,312.825,-30.28
42762,312.85,-29.7
42858,312.875,-29.48
42955,312.9,-29.31
43051,312.925,-29.3
43147,312.95,-29.48
43244,312.975,-29.81
43340,313,-30.57
43600,313.025,-31.55
43860,313.05,-31.44
44120,313.075,-31.56
44380,313.1,-31.31
44526,313.125,-30.44
44672,313.15,-29.86
44818,313.175,-29.99
44964,313.2,-30.3
45109,313.225,-30.33
45255,313.25,-30.46
45401,313.275,-30.06
45547,313.3,-29.84
45693,313.325,-29.54
45839,313.35,-29.27
45985,313.375,-29.19
46131,313.4,-29.03
46276,313.425,-28.88
46422,313.45,-28.85
46568,313.475,-28.8
46714,313.5,-29.6
46860,313.525,-30.41
47156,313.55,-31.29
47452,313.575,-31.4
47748,313.6,-31.25
48044,313.625,-31.4
48340,313.65,-31.14
48458,313.675,-30.66
48575,313.7,-30.4
48693,313.725,-30.09
48810,313.75,-29.8
48928,313.775,-29.63
49045,313.8,-29.55
49163,313.825,-29.25
49280,313.85,-29.32
49450,313.875,-30.05
49620,313.9,-30.46
49759,313.925,-30.11
49899,313.95,-30.09
50038,313.975,-29.92
50178,314,-29.86
50317,314.025,-30.08
50456,314.05,-30.06
50596,314.075,-29.91
50735,314.1,-30
50875,314.125,-30.09
51014,314.15,-29.99
51153,314.175,-29.97
51293,314.2,-30.14
51432,314.225,-30.19
51572,314.25,-30
51711,314.275,-30.01
51850,314.3,-30.1
51990,314.325,-30.01
52129,314.35,-29.92
52268,314.375,-29.86
52408,314.4,-29.83
52547,314.425,-29.78
52687,314.45,-29.61
52826,314.475,-29.37
52965,314.5,-28.98
53105,314.525,-28.83
53244,314.55,-28.99
53384,314.575,-29.14
53523,314.6,-28.95
53662,314.625,-28.87
53802,314.65,-28.84
53941,314.675,-28.86
54081,314.7,-28.98
54220,314.725,-29.73
54830,314.75,-30.5
55440,314.775,-30.59
55560,314.8,-29.88
55680,314.825,-29.42
55800,314.85,-30.09
56140,314.875,-31.05
56480,314.9,-31.04
56644,314.925,-30.56
56807,314.95,-30.11
56971,314.975,-30.06
57135,315,-30.02
57298,315.025,-29.9
57462,315.05,-29.86
57625,315.075,-29.94
57789,315.1,-29.82
57953,315.125,-29.81
58116,315.15,-30.18
58280,315.175,-30.52
58365,315.2,-31.34
58450,315.225,-31.79
58535,315.25,-31.63
58620,315.275,-31.13
58697,315.3,-30.43
58773,315.325,-29.78
58850,315.35,-29.49
58927,315.375,-29.02
59003,315.4,-28.92
59080,315.425,-29.77
59140,315.45,-30.99
59200,315.475,-31.65
59260,315.5,-31.8
59320,315.525,-30.74
59360,315.55,-29.34
59400,315.575,-29
59440,315.6,-29.97
